"start per day","Measurement station",Compound,"Rel. peak area","Max. peak area",Detections,Matrices
"2021-03-05","rhein_ko_l",Candesartan,"0.122","0.122",1,1
"2021-03-06","rhein_ko_l",Candesartan,"0.128","0.128",1,1
"2021-03-07","rhein_ko_l",Candesartan,"0.14","0.14",1,1
"2021-03-08","rhein_ko_l",Candesartan,"0.131","0.131",1,1
"2021-03-09","rhein_ko_l",Candesartan,"0.13","0.13",1,1
"2021-03-10","rhein_ko_l",Candesartan,"0.119","0.119",1,1
"2021-03-11","rhein_ko_l",Candesartan,"0.129","0.129",1,1
"2021-03-12","rhein_ko_l",Candesartan,"0.139","0.139",1,1
"2021-03-13","rhein_ko_l",Candesartan,"0.149","0.149",1,1
"2021-03-14","rhein_ko_l",Candesartan,"0.177","0.177",1,1
"2021-03-15","rhein_ko_l",Candesartan,"0.164","0.164",1,1
"2021-03-16","rhein_ko_l",Candesartan,"0.156","0.156",1,1
"2021-03-17","rhein_ko_l",Candesartan,"0.162","0.162",1,1
"2021-03-18","rhein_ko_l",Candesartan,"0.156","0.156",1,1
"2021-03-19","rhein_ko_l",Candesartan,"0.15","0.15",1,1
"2021-03-20","rhein_ko_l",Candesartan,"0.148","0.148",1,1
"2021-03-21","rhein_ko_l",Candesartan,"0.138","0.138",1,1
"2021-03-22","rhein_ko_l",Candesartan,"0.132","0.132",1,1
"2021-03-23","rhein_ko_l",Candesartan,"0.13","0.13",1,1
"2021-03-24","rhein_ko_l",Candesartan,"0.134","0.134",1,1
"2021-03-25","rhein_ko_l",Candesartan,"0.127","0.127",1,1
"2021-03-26","rhein_ko_l",Candesartan,"0.126","0.126",1,1
"2021-03-27","rhein_ko_l",Candesartan,"0.134","0.134",1,1
"2021-03-28","rhein_ko_l",Candesartan,"0.134","0.134",1,1
"2021-03-29","rhein_ko_l",Candesartan,"0.136","0.136",1,1
"2021-03-30","rhein_ko_l",Candesartan,"0.126","0.126",1,1
"2021-03-31","rhein_ko_l",Candesartan,"0.133","0.133",1,1
"2021-04-01","rhein_ko_l",Candesartan,"0.126","0.126",1,1
"2021-04-02","rhein_ko_l",Candesartan,"0.133","0.133",1,1
"2021-04-03","rhein_ko_l",Candesartan,"0.123","0.123",1,1
"2021-04-04","rhein_ko_l",Candesartan,"0.13","0.13",1,1
"2021-04-05","rhein_ko_l",Candesartan,"0.128","0.128",1,1
"2021-04-06","rhein_ko_l",Candesartan,"0.125","0.125",1,1
"2021-04-07","rhein_ko_l",Candesartan,"0.132","0.132",1,1
"2021-04-08","rhein_ko_l",Candesartan,"0.142","0.142",1,1
"2021-04-09","rhein_ko_l",Candesartan,"0.152","0.152",1,1
"2021-04-10","rhein_ko_l",Candesartan,"0.154","0.154",1,1
"2021-04-11","rhein_ko_l",Candesartan,"0.149","0.149",1,1
"2021-04-12","rhein_ko_l",Candesartan,"0.161","0.161",1,1
"2021-04-13","rhein_ko_l",Candesartan,"0.159","0.159",1,1
"2021-04-14","rhein_ko_l",Candesartan,"0.132","0.132",1,1
"2021-04-15","rhein_ko_l",Candesartan,"0.147","0.147",1,1
"2021-04-16","rhein_ko_l",Candesartan,"0.135","0.135",1,1
"2021-04-17","rhein_ko_l",Candesartan,"0.133","0.133",1,1
"2021-04-18","rhein_ko_l",Candesartan,"0.127","0.127",1,1
"2021-04-19","rhein_ko_l",Candesartan,"0.135","0.135",1,1
"2021-04-20","rhein_ko_l",Candesartan,"0.138","0.138",1,1
"2021-04-21","rhein_ko_l",Candesartan,"0.164","0.164",1,1
"2021-04-22","rhein_ko_l",Candesartan,"0.161","0.161",1,1
"2021-04-23","rhein_ko_l",Candesartan,"0.172","0.172",1,1
"2021-04-24","rhein_ko_l",Candesartan,"0.158","0.158",1,1
"2021-04-25","rhein_ko_l",Candesartan,"0.169","0.169",1,1
"2021-04-26","rhein_ko_l",Candesartan,"0.171","0.171",1,1
"2021-04-27","rhein_ko_l",Candesartan,"0.173","0.173",1,1
"2021-04-28","rhein_ko_l",Candesartan,"0.162","0.162",1,1
"2021-04-29","rhein_ko_l",Candesartan,"0.17","0.17",1,1
"2021-04-30","rhein_ko_l",Candesartan,"0.186","0.186",1,1
"2021-05-01","rhein_ko_l",Candesartan,"0.191","0.191",1,1
"2021-05-02","rhein_ko_l",Candesartan,"0.181","0.181",1,1
"2021-05-03","rhein_ko_l",Candesartan,"0.17","0.17",1,1
"2021-05-04","rhein_ko_l",Candesartan,"0.172","0.172",1,1
"2021-05-05","rhein_ko_l",Candesartan,"0.155","0.155",1,1
"2021-05-06","rhein_ko_l",Candesartan,"0.17","0.17",1,1
"2021-05-07","rhein_ko_l",Candesartan,"0.179","0.179",1,1
"2021-05-08","rhein_ko_l",Candesartan,"0.195","0.195",1,1
"2021-05-09","rhein_ko_l",Candesartan,"0.189","0.189",1,1
"2021-05-10","rhein_ko_l",Candesartan,"0.159","0.159",1,1
"2021-05-11","rhein_ko_l",Candesartan,"0.148","0.148",1,1
"2021-05-12","rhein_ko_l",Candesartan,"0.143","0.143",1,1
"2021-05-13","rhein_ko_l",Candesartan,"0.142","0.142",1,1
"2021-05-14","rhein_ko_l",Candesartan,"0.13","0.13",1,1
"2021-05-15","rhein_ko_l",Candesartan,"0.12","0.12",1,1
"2021-05-16","rhein_ko_l",Candesartan,"0.111","0.111",1,1
"2021-05-17","rhein_ko_l",Candesartan,"0.122","0.122",1,1
"2021-05-18","rhein_ko_l",Candesartan,"0.126","0.126",1,1
"2021-05-19","rhein_ko_l",Candesartan,"0.119","0.119",1,1
"2021-05-20","rhein_ko_l",Candesartan,"0.114","0.114",1,1
"2021-05-21","rhein_ko_l",Candesartan,"0.102","0.102",1,1
"2021-05-22","rhein_ko_l",Candesartan,"0.089","0.089",1,1
"2021-05-23","rhein_ko_l",Candesartan,"0.089","0.089",1,1
"2021-05-24","rhein_ko_l",Candesartan,"0.087","0.087",1,1
"2021-05-25","rhein_ko_l",Candesartan,"0.08","0.08",1,1
"2021-05-26","rhein_ko_l",Candesartan,"0.082","0.082",1,1
"2021-05-27","rhein_ko_l",Candesartan,"0.097","0.097",1,1
"2021-05-28","rhein_ko_l",Candesartan,"0.106","0.106",1,1
"2021-05-29","rhein_ko_l",Candesartan,"0.109","0.109",1,1
"2021-05-30","rhein_ko_l",Candesartan,"0.089","0.089",1,1
"2021-05-31","rhein_ko_l",Candesartan,"0.091","0.091",1,1
"2021-06-01","rhein_ko_l",Candesartan,"0.106","0.106",1,1
"2021-06-02","rhein_ko_l",Candesartan,"0.103","0.103",1,1
"2021-06-03","rhein_ko_l",Candesartan,"0.103","0.103",1,1
"2021-06-04","rhein_ko_l",Candesartan,"0.118","0.118",1,1
"2021-06-05","rhein_ko_l",Candesartan,"0.118","0.118",1,1
"2021-06-06","rhein_ko_l",Candesartan,"0.133","0.133",1,1
"2021-06-07","rhein_ko_l",Candesartan,"0.14","0.14",1,1
"2021-06-08","rhein_ko_l",Candesartan,"0.126","0.126",1,1
"2021-06-09","rhein_ko_l",Candesartan,"0.129","0.129",1,1
"2021-06-10","rhein_ko_l",Candesartan,"0.116","0.116",1,1
"2021-06-11","rhein_ko_l",Candesartan,"0.105","0.105",1,1
"2021-06-12","rhein_ko_l",Candesartan,"0.101","0.101",1,1
"2021-06-13","rhein_ko_l",Candesartan,"0.101","0.101",1,1
"2021-06-14","rhein_ko_l",Candesartan,"0.095","0.095",1,1
"2021-06-15","rhein_ko_l",Candesartan,"0.088","0.088",1,1
"2021-06-16","rhein_ko_l",Candesartan,"0.103","0.103",1,1
"2021-06-17","rhein_ko_l",Candesartan,"0.098","0.098",1,1
"2021-06-18","rhein_ko_l",Candesartan,"0.092","0.092",1,1
"2021-06-19","rhein_ko_l",Candesartan,"0.096","0.096",1,1
"2021-06-20","rhein_ko_l",Candesartan,"0.101","0.101",1,1
"2021-06-21","rhein_ko_l",Candesartan,"0.103","0.103",1,1
"2021-06-22","rhein_ko_l",Candesartan,"0.123","0.123",1,1
"2021-06-23","rhein_ko_l",Candesartan,"0.126","0.126",1,1
"2021-06-24","rhein_ko_l",Candesartan,"0.129","0.129",1,1
"2021-06-25","rhein_ko_l",Candesartan,"0.139","0.139",1,1
"2021-06-26","rhein_ko_l",Candesartan,"0.144","0.144",1,1
"2021-06-27","rhein_ko_l",Candesartan,"0.149","0.149",1,1
"2021-06-28","rhein_ko_l",Candesartan,"0.131","0.131",1,1
"2021-06-29","rhein_ko_l",Candesartan,"0.124","0.124",1,1
"2021-06-30","rhein_ko_l",Candesartan,"0.136","0.136",1,1
"2021-07-01","rhein_ko_l",Candesartan,"0.154","0.154",1,1
"2021-07-02","rhein_ko_l",Candesartan,"0.108","0.108",1,1
"2021-07-03","rhein_ko_l",Candesartan,"0.083","0.083",1,1
"2021-07-04","rhein_ko_l",Candesartan,"0.084","0.084",1,1
"2021-07-05","rhein_ko_l",Candesartan,"0.083","0.083",1,1
"2021-07-06","rhein_ko_l",Candesartan,"0.081","0.081",1,1
"2021-07-07","rhein_ko_l",Candesartan,"0.093","0.093",1,1
"2021-07-08","rhein_ko_l",Candesartan,"0.092","0.092",1,1
"2021-07-09","rhein_ko_l",Candesartan,"0.077","0.077",1,1
"2021-07-10","rhein_ko_l",Candesartan,"0.099","0.099",1,1
"2021-07-11","rhein_ko_l",Candesartan,"0.127","0.127",1,1
"2021-07-12","rhein_ko_l",Candesartan,"0.113","0.113",1,1
"2021-07-13","rhein_ko_l",Candesartan,"0.095","0.095",1,1
"2021-07-14","rhein_ko_l",Candesartan,"0.184","0.184",1,1
"2021-07-15","rhein_ko_l",Candesartan,"0.08","0.08",1,1
"2021-07-16","rhein_ko_l",Candesartan,"0.078","0.078",1,1
"2021-07-17","rhein_ko_l",Candesartan,"0.053","0.053",1,1
"2021-07-19","rhein_ko_l",Candesartan,"0.049","0.049",1,1
"2021-07-20","rhein_ko_l",Candesartan,"0.048","0.048",1,1
"2021-07-21","rhein_ko_l",Candesartan,"0.046","0.046",1,1
"2021-07-22","rhein_ko_l",Candesartan,"0.048","0.048",1,1
"2021-07-23","rhein_ko_l",Candesartan,"0.052","0.052",1,1
"2021-07-24","rhein_ko_l",Candesartan,"0.048","0.048",1,1
"2021-07-26","rhein_ko_l",Candesartan,"0.067","0.067",1,1
"2021-07-27","rhein_ko_l",Candesartan,"0.058","0.058",1,1
"2021-07-28","rhein_ko_l",Candesartan,"0.097","0.097",1,1
"2021-07-29","rhein_ko_l",Candesartan,"0.072","0.072",1,1
"2021-07-30","rhein_ko_l",Candesartan,"0.071","0.071",1,1
"2021-07-31","rhein_ko_l",Candesartan,"0.065","0.065",1,1
"2021-08-01","rhein_ko_l",Candesartan,"0.07","0.07",1,1
"2021-08-02","rhein_ko_l",Candesartan,"0.068","0.068",1,1
"2021-08-03","rhein_ko_l",Candesartan,"0.077","0.077",1,1
"2021-08-04","rhein_ko_l",Candesartan,"0.077","0.077",1,1
"2021-08-05","rhein_ko_l",Candesartan,"0.066","0.066",1,1
"2021-08-06","rhein_ko_l",Candesartan,"0.085","0.085",1,1
"2021-08-07","rhein_ko_l",Candesartan,"0.074","0.074",1,1
"2021-08-08","rhein_ko_l",Candesartan,"0.086","0.086",1,1
"2021-08-09","rhein_ko_l",Candesartan,"0.078","0.078",1,1
"2021-08-10","rhein_ko_l",Candesartan,"0.088","0.088",1,1
"2021-08-11","rhein_ko_l",Candesartan,"0.076","0.076",1,1
"2021-08-12","rhein_ko_l",Candesartan,"0.071","0.071",1,1
"2021-08-13","rhein_ko_l",Candesartan,"0.077","0.077",1,1
"2021-08-14","rhein_ko_l",Candesartan,"0.073","0.073",1,1
"2021-08-15","rhein_ko_l",Candesartan,"0.076","0.076",1,1
"2021-08-16","rhein_ko_l",Candesartan,"0.079","0.079",1,1
"2021-08-17","rhein_ko_l",Candesartan,"0.087","0.087",1,1
"2021-08-18","rhein_ko_l",Candesartan,"0.126","0.126",1,1
"2021-08-19","rhein_ko_l",Candesartan,"0.097","0.097",1,1
"2021-08-20","rhein_ko_l",Candesartan,"0.102","0.102",1,1
"2021-08-21","rhein_ko_l",Candesartan,"0.094","0.094",1,1
"2021-08-22","rhein_ko_l",Candesartan,"0.103","0.103",1,1
"2021-08-23","rhein_ko_l",Candesartan,"0.114","0.114",1,1
"2021-08-24","rhein_ko_l",Candesartan,"0.145","0.145",1,1
"2021-08-25","rhein_ko_l",Candesartan,"0.128","0.128",1,1
"2021-08-26","rhein_ko_l",Candesartan,"0.108","0.108",1,1
"2021-08-27","rhein_ko_l",Candesartan,"0.1","0.1",1,1
"2021-08-28","rhein_ko_l",Candesartan,"0.121","0.121",1,1
"2021-08-29","rhein_ko_l",Candesartan,"0.117","0.117",1,1
"2021-08-30","rhein_ko_l",Candesartan,"0.13","0.13",1,1
"2021-08-31","rhein_ko_l",Candesartan,"0.153","0.153",1,1
"2021-09-01","rhein_ko_l",Candesartan,"0.159","0.159",1,1
"2021-09-02","rhein_ko_l",Candesartan,"0.141","0.141",1,1
"2021-09-03","rhein_ko_l",Candesartan,"0.126","0.126",1,1
"2021-09-04","rhein_ko_l",Candesartan,"0.111","0.111",1,1
"2021-09-05","rhein_ko_l",Candesartan,"0.106","0.106",1,1
"2021-09-06","rhein_ko_l",Candesartan,"0.116","0.116",1,1
"2021-09-07","rhein_ko_l",Candesartan,"0.122","0.122",1,1
"2021-09-08","rhein_ko_l",Candesartan,"0.114","0.114",1,1
"2021-09-09","rhein_ko_l",Candesartan,"0.117","0.117",1,1
"2021-09-10","rhein_ko_l",Candesartan,"0.118","0.118",1,1
"2021-09-11","rhein_ko_l",Candesartan,"0.121","0.121",1,1
"2021-09-12","rhein_ko_l",Candesartan,"0.13","0.13",1,1
"2021-09-13","rhein_ko_l",Candesartan,"0.13","0.13",1,1
"2021-09-14","rhein_ko_l",Candesartan,"0.14","0.14",1,1
"2021-09-15","rhein_ko_l",Candesartan,"0.13","0.13",1,1
"2021-09-16","rhein_ko_l",Candesartan,"0.13","0.13",1,1
"2021-09-17","rhein_ko_l",Candesartan,"0.153","0.153",1,1
"2021-09-18","rhein_ko_l",Candesartan,"0.155","0.155",1,1
"2021-09-19","rhein_ko_l",Candesartan,"0.144","0.144",1,1
"2021-09-20","rhein_ko_l",Candesartan,"0.134","0.134",1,1
"2021-09-21","rhein_ko_l",Candesartan,"0.12","0.12",1,1
"2021-09-22","rhein_ko_l",Candesartan,"0.122","0.122",1,1
"2021-09-23","rhein_ko_l",Candesartan,"0.12","0.12",1,1
"2021-09-24","rhein_ko_l",Candesartan,"0.132","0.132",1,1
"2021-09-25","rhein_ko_l",Candesartan,"0.12","0.12",1,1
"2021-09-26","rhein_ko_l",Candesartan,"0.122","0.122",1,1
"2021-09-27","rhein_ko_l",Candesartan,"0.122","0.122",1,1
"2021-09-28","rhein_ko_l",Candesartan,"0.145","0.145",1,1
"2021-09-29","rhein_ko_l",Candesartan,"0.149","0.149",1,1
"2021-09-30","rhein_ko_l",Candesartan,"0.161","0.161",1,1
"2021-10-01","rhein_ko_l",Candesartan,"0.144","0.144",1,1
"2021-10-02","rhein_ko_l",Candesartan,"0.145","0.145",1,1
"2021-10-03","rhein_ko_l",Candesartan,"0.151","0.151",1,1
"2021-10-04","rhein_ko_l",Candesartan,"0.139","0.139",1,1
"2021-10-05","rhein_ko_l",Candesartan,"0.152","0.152",1,1
"2021-10-06","rhein_ko_l",Candesartan,"0.177","0.177",1,1
"2021-10-07","rhein_ko_l",Candesartan,"0.172","0.172",1,1
"2021-10-08","rhein_ko_l",Candesartan,"0.162","0.162",1,1
"2021-10-09","rhein_ko_l",Candesartan,"0.15","0.15",1,1
"2021-10-10","rhein_ko_l",Candesartan,"0.137","0.137",1,1
"2021-10-11","rhein_ko_l",Candesartan,"0.145","0.145",1,1
"2021-10-12","rhein_ko_l",Candesartan,"0.142","0.142",1,1
"2021-10-13","rhein_ko_l",Candesartan,"0.143","0.143",1,1
"2021-10-14","rhein_ko_l",Candesartan,"0.162","0.162",1,1
"2021-10-15","rhein_ko_l",Candesartan,"0.186","0.186",1,1
"2021-10-16","rhein_ko_l",Candesartan,"0.168","0.168",1,1
"2021-10-17","rhein_ko_l",Candesartan,"0.146","0.146",1,1
"2021-10-18","rhein_ko_l",Candesartan,"0.157","0.157",1,1
"2021-10-19","rhein_ko_l",Candesartan,"0.157","0.157",1,1
"2021-10-20","rhein_ko_l",Candesartan,"0.164","0.164",1,1
"2021-10-21","rhein_ko_l",Candesartan,"0.192","0.192",1,1
"2021-10-22","rhein_ko_l",Candesartan,"0.189","0.189",1,1
"2021-10-23","rhein_ko_l",Candesartan,"0.239","0.239",1,1
"2021-10-24","rhein_ko_l",Candesartan,"0.23","0.23",1,1
"2021-10-25","rhein_ko_l",Candesartan,"0.179","0.179",1,1
"2021-10-26","rhein_ko_l",Candesartan,"0.178","0.178",1,1
"2021-10-27","rhein_ko_l",Candesartan,"0.17","0.17",1,1
"2021-10-28","rhein_ko_l",Candesartan,"0.172","0.172",1,1
"2021-10-29","rhein_ko_l",Candesartan,"0.182","0.182",1,1
"2021-10-30","rhein_ko_l",Candesartan,"0.173","0.173",1,1
"2021-10-31","rhein_ko_l",Candesartan,"0.182","0.182",1,1
"2021-11-01","rhein_ko_l",Candesartan,"0.228","0.228",1,1
"2021-11-02","rhein_ko_l",Candesartan,"0.218","0.218",1,1
"2021-11-03","rhein_ko_l",Candesartan,"0.235","0.235",1,1
"2021-11-04","rhein_ko_l",Candesartan,"0.259","0.259",1,1
"2021-11-05","rhein_ko_l",Candesartan,"0.256","0.256",1,1
"2021-11-06","rhein_ko_l",Candesartan,"0.235","0.235",1,1
"2021-11-07","rhein_ko_l",Candesartan,"0.235","0.235",1,1
"2021-11-08","rhein_ko_l",Candesartan,"0.244","0.244",1,1
"2021-11-09","rhein_ko_l",Candesartan,"0.2","0.2",1,1
"2021-11-10","rhein_ko_l",Candesartan,"0.224","0.224",1,1
"2021-11-11","rhein_ko_l",Candesartan,"0.211","0.211",1,1
"2021-11-12","rhein_ko_l",Candesartan,"0.22","0.22",1,1
"2021-11-13","rhein_ko_l",Candesartan,"0.214","0.214",1,1
"2021-11-14","rhein_ko_l",Candesartan,"0.223","0.223",1,1
"2021-11-15","rhein_ko_l",Candesartan,"0.234","0.234",1,1
"2021-11-16","rhein_ko_l",Candesartan,"0.231","0.231",1,1
"2021-11-17","rhein_ko_l",Candesartan,"0.227","0.227",1,1
"2021-11-18","rhein_ko_l",Candesartan,"0.191","0.191",1,1
"2021-11-19","rhein_ko_l",Candesartan,"0.209","0.209",1,1
"2021-11-20","rhein_ko_l",Candesartan,"0.216","0.216",1,1
"2021-11-21","rhein_ko_l",Candesartan,"0.228","0.228",1,1
"2021-11-22","rhein_ko_l",Candesartan,"0.193","0.193",1,1
"2021-11-23","rhein_ko_l",Candesartan,"0.238","0.238",1,1
"2021-11-24","rhein_ko_l",Candesartan,"0.211","0.211",1,1
"2021-11-25","rhein_ko_l",Candesartan,"0.233","0.233",1,1
"2021-11-26","rhein_ko_l",Candesartan,"0.23","0.23",1,1
"2021-11-27","rhein_ko_l",Candesartan,"0.239","0.239",1,1
"2021-11-28","rhein_ko_l",Candesartan,"0.217","0.217",1,1
"2021-11-29","rhein_ko_l",Candesartan,"0.213","0.213",1,1
"2021-11-30","rhein_ko_l",Candesartan,"0.244","0.244",1,1
"2021-12-01","rhein_ko_l",Candesartan,"0.225","0.225",1,1
"2021-12-02","rhein_ko_l",Candesartan,"0.252","0.252",1,1
"2021-12-03","rhein_ko_l",Candesartan,"0.302","0.302",1,1
"2021-12-04","rhein_ko_l",Candesartan,"0.291","0.291",1,1
"2021-12-05","rhein_ko_l",Candesartan,"0.272","0.272",1,1
"2021-12-06","rhein_ko_l",Candesartan,"0.272","0.272",1,1
"2021-12-07","rhein_ko_l",Candesartan,"0.234","0.234",1,1
"2021-12-08","rhein_ko_l",Candesartan,"0.207","0.207",1,1
"2021-12-09","rhein_ko_l",Candesartan,"0.195","0.195",1,1
"2021-12-10","rhein_ko_l",Candesartan,"0.19","0.19",1,1
"2021-12-11","rhein_ko_l",Candesartan,"0.166","0.166",1,1
"2021-12-12","rhein_ko_l",Candesartan,"0.192","0.192",1,1
"2021-12-13","rhein_ko_l",Candesartan,"0.183","0.183",1,1
"2021-12-14","rhein_ko_l",Candesartan,"0.178","0.178",1,1
"2021-12-15","rhein_ko_l",Candesartan,"0.16","0.16",1,1
"2021-12-16","rhein_ko_l",Candesartan,"0.175","0.175",1,1
"2021-12-17","rhein_ko_l",Candesartan,"0.158","0.158",1,1
"2021-12-18","rhein_ko_l",Candesartan,"0.161","0.161",1,1
"2021-12-19","rhein_ko_l",Candesartan,"0.149","0.149",1,1
"2021-12-20","rhein_ko_l",Candesartan,"0.155","0.155",1,1
"2021-12-21","rhein_ko_l",Candesartan,"0.149","0.149",1,1
"2021-12-22","rhein_ko_l",Candesartan,"0.172","0.172",1,1
"2021-12-23","rhein_ko_l",Candesartan,"0.158","0.158",1,1
"2021-12-24","rhein_ko_l",Candesartan,"0.178","0.178",1,1
"2021-12-25","rhein_ko_l",Candesartan,"0.159","0.159",1,1
"2021-12-26","rhein_ko_l",Candesartan,"0.186","0.186",1,1
"2021-12-27","rhein_ko_l",Candesartan,"0.214","0.214",1,1
"2021-12-28","rhein_ko_l",Candesartan,"0.239","0.239",1,1
"2021-12-29","rhein_ko_l",Candesartan,"0.208","0.208",1,1
"2021-12-30","rhein_ko_l",Candesartan,"0.185","0.185",1,1
"2021-12-31","rhein_ko_l",Candesartan,"0.19","0.19",1,1
"2022-01-01","rhein_ko_l",Candesartan,"0.128","0.128",1,1
"2022-01-02","rhein_ko_l",Candesartan,"0.109","0.109",1,1
"2022-01-03","rhein_ko_l",Candesartan,"0.102","0.102",1,1
"2022-01-04","rhein_ko_l",Candesartan,"0.114","0.114",1,1
"2022-01-05","rhein_ko_l",Candesartan,"0.116","0.116",1,1
"2022-01-06","rhein_ko_l",Candesartan,"0.108","0.108",1,1
"2022-01-07","rhein_ko_l",Candesartan,"0.087","0.087",1,1
"2022-01-08","rhein_ko_l",Candesartan,"0.083","0.083",1,1
"2022-01-09","rhein_ko_l",Candesartan,"0.085","0.085",1,1
"2022-01-10","rhein_ko_l",Candesartan,"0.082","0.082",1,1
"2022-01-11","rhein_ko_l",Candesartan,"0.103","0.103",1,1
"2022-01-12","rhein_ko_l",Candesartan,"0.073","0.073",1,1
"2022-01-13","rhein_ko_l",Candesartan,"0.083","0.083",1,1
"2022-01-14","rhein_ko_l",Candesartan,"0.075","0.075",1,1
"2022-01-15","rhein_ko_l",Candesartan,"0.09","0.09",1,1
"2022-01-16","rhein_ko_l",Candesartan,"0.1","0.1",1,1
"2022-01-17","rhein_ko_l",Candesartan,"0.099","0.099",1,1
"2022-01-18","rhein_ko_l",Candesartan,"0.11","0.11",1,1
"2022-01-19","rhein_ko_l",Candesartan,"0.113","0.113",1,1
"2022-01-20","rhein_ko_l",Candesartan,"0.119","0.119",1,1
"2022-01-21","rhein_ko_l",Candesartan,"0.115","0.115",1,1
"2022-01-22","rhein_ko_l",Candesartan,"0.123","0.123",1,1
"2022-01-23","rhein_ko_l",Candesartan,"0.12","0.12",1,1
"2022-01-24","rhein_ko_l",Candesartan,"0.14","0.14",1,1
"2022-01-25","rhein_ko_l",Candesartan,"0.127","0.127",1,1
"2022-01-26","rhein_ko_l",Candesartan,"0.144","0.144",1,1
"2022-01-27","rhein_ko_l",Candesartan,"0.137","0.137",1,1
"2022-01-28","rhein_ko_l",Candesartan,"0.144","0.144",1,1
"2022-01-29","rhein_ko_l",Candesartan,"0.147","0.147",1,1
"2022-01-30","rhein_ko_l",Candesartan,"0.155","0.155",1,1
"2022-01-31","rhein_ko_l",Candesartan,"0.156","0.156",1,1
"2022-02-01","rhein_ko_l",Candesartan,"0.13","0.13",1,1
"2022-02-02","rhein_ko_l",Candesartan,"0.134","0.134",1,1
"2022-02-03","rhein_ko_l",Candesartan,"0.142","0.142",1,1
"2022-02-04","rhein_ko_l",Candesartan,"0.159","0.159",1,1
"2022-02-05","rhein_ko_l",Candesartan,"0.109","0.109",1,1
"2022-02-06","rhein_ko_l",Candesartan,"0.124","0.124",1,1
"2022-02-07","rhein_ko_l",Candesartan,"0.118","0.118",1,1
"2022-02-08","rhein_ko_l",Candesartan,"0.11","0.11",1,1
"2022-02-09","rhein_ko_l",Candesartan,"0.12","0.12",1,1
"2022-02-10","rhein_ko_l",Candesartan,"0.096","0.096",1,1
"2022-02-11","rhein_ko_l",Candesartan,"0.086","0.086",1,1
"2022-02-12","rhein_ko_l",Candesartan,"0.078","0.078",1,1
"2022-02-13","rhein_ko_l",Candesartan,"0.084","0.084",1,1
"2022-02-14","rhein_ko_l",Candesartan,"0.087","0.087",1,1
"2022-02-15","rhein_ko_l",Candesartan,"0.08","0.08",1,1
"2022-02-16","rhein_ko_l",Candesartan,"0.084","0.084",1,1
"2022-02-17","rhein_ko_l",Candesartan,"0.09","0.09",1,1
"2022-02-18","rhein_ko_l",Candesartan,"0.093","0.093",1,1
"2022-02-19","rhein_ko_l",Candesartan,"0.089","0.089",1,1
"2022-02-20","rhein_ko_l",Candesartan,"0.074","0.074",1,1
"2022-02-21","rhein_ko_l",Candesartan,"0.082","0.082",1,1
"2022-02-22","rhein_ko_l",Candesartan,"0.08","0.08",1,1
"2022-02-23","rhein_ko_l",Candesartan,"0.089","0.089",1,1
"2022-02-24","rhein_ko_l",Candesartan,"0.088","0.088",1,1
"2022-02-25","rhein_ko_l",Candesartan,"0.083","0.083",1,1
"2022-02-26","rhein_ko_l",Candesartan,"0.082","0.082",1,1
"2022-02-27","rhein_ko_l",Candesartan,"0.081","0.081",1,1
"2022-02-28","rhein_ko_l",Candesartan,"0.08","0.08",1,1
"2022-03-01","rhein_ko_l",Candesartan,"0.098","0.098",1,1
"2022-03-02","rhein_ko_l",Candesartan,"0.085","0.085",1,1
"2022-03-03","rhein_ko_l",Candesartan,"0.093","0.093",1,1
"2022-03-04","rhein_ko_l",Candesartan,"0.091","0.091",1,1
"2022-03-05","rhein_ko_l",Candesartan,"0.095","0.095",1,1
"2022-03-06","rhein_ko_l",Candesartan,"0.097","0.097",1,1
"2022-03-07","rhein_ko_l",Candesartan,"0.086","0.086",1,1
"2022-03-08","rhein_ko_l",Candesartan,"0.104","0.104",1,1
"2022-03-09","rhein_ko_l",Candesartan,"0.096","0.096",1,1
"2022-03-10","rhein_ko_l",Candesartan,"0.103","0.103",1,1
"2022-03-11","rhein_ko_l",Candesartan,"0.101","0.101",1,1
"2022-03-12","rhein_ko_l",Candesartan,"0.108","0.108",1,1
"2022-03-13","rhein_ko_l",Candesartan,"0.12","0.12",1,1
"2022-03-14","rhein_ko_l",Candesartan,"0.118","0.118",1,1
"2022-03-15","rhein_ko_l",Candesartan,"0.114","0.114",1,1
"2022-03-16","rhein_ko_l",Candesartan,"0.13","0.13",1,1
"2022-03-17","rhein_ko_l",Candesartan,"0.147","0.147",1,1
"2022-03-18","rhein_ko_l",Candesartan,"0.147","0.147",1,1
"2022-03-19","rhein_ko_l",Candesartan,"0.142","0.142",1,1
"2022-03-20","rhein_ko_l",Candesartan,"0.136","0.136",1,1
"2022-03-21","rhein_ko_l",Candesartan,"0.124","0.124",1,1
"2022-03-22","rhein_ko_l",Candesartan,"0.127","0.127",1,1
"2022-03-23","rhein_ko_l",Candesartan,"0.124","0.124",1,1
"2022-03-24","rhein_ko_l",Candesartan,"0.143","0.143",1,1
"2022-03-25","rhein_ko_l",Candesartan,"0.118","0.118",1,1
"2022-03-26","rhein_ko_l",Candesartan,"0.14","0.14",1,1
"2022-03-27","rhein_ko_l",Candesartan,"0.14","0.14",1,1
"2022-03-28","rhein_ko_l",Candesartan,"0.154","0.154",1,1
